shift_id,personnel_amka,assigned_role
1,10000000000,ON_CALL_DOCTOR
1,10000000004,ON_CALL_DOCTOR
1,10000000007,ON_CALL_DOCTOR
1,10000000135,ON_CALL_NURSE
1,10000000136,ON_CALL_NURSE
1,10000000137,ON_CALL_NURSE
1,10000000138,ON_CALL_NURSE
1,10000000139,ON_CALL_NURSE
1,10000000140,ON_CALL_NURSE
1,10000000405,ON_CALL_ADMIN
1,10000000406,ON_CALL_ADMIN
2,10000000001,ON_CALL_DOCTOR
2,10000000005,ON_CALL_DOCTOR
2,10000000008,ON_CALL_DOCTOR
2,10000000141,ON_CALL_NURSE
2,10000000142,ON_CALL_NURSE
2,10000000143,ON_CALL_NURSE
2,10000000144,ON_CALL_NURSE
2,10000000145,ON_CALL_NURSE
2,10000000146,ON_CALL_NURSE
2,10000000407,ON_CALL_ADMIN
2,10000000408,ON_CALL_ADMIN
3,10000000002,ON_CALL_DOCTOR
3,10000000006,ON_CALL_DOCTOR
3,10000000003,ON_CALL_DOCTOR
3,10000000147,ON_CALL_NURSE
3,10000000148,ON_CALL_NURSE
3,10000000149,ON_CALL_NURSE
3,10000000150,ON_CALL_NURSE
3,10000000151,ON_CALL_NURSE
3,10000000152,ON_CALL_NURSE
3,10000000409,ON_CALL_ADMIN
3,10000000410,ON_CALL_ADMIN
4,10000000001,ON_CALL_DOCTOR
4,10000000005,ON_CALL_DOCTOR
4,10000000008,ON_CALL_DOCTOR
4,10000000138,ON_CALL_NURSE
4,10000000139,ON_CALL_NURSE
4,10000000140,ON_CALL_NURSE
4,10000000141,ON_CALL_NURSE
4,10000000142,ON_CALL_NURSE
4,10000000143,ON_CALL_NURSE
4,10000000407,ON_CALL_ADMIN
4,10000000408,ON_CALL_ADMIN
5,10000000002,ON_CALL_DOCTOR
5,10000000006,ON_CALL_DOCTOR
5,10000000007,ON_CALL_DOCTOR
5,10000000144,ON_CALL_NURSE
5,10000000145,ON_CALL_NURSE
5,10000000146,ON_CALL_NURSE
5,10000000147,ON_CALL_NURSE
5,10000000148,ON_CALL_NURSE
5,10000000149,ON_CALL_NURSE
5,10000000409,ON_CALL_ADMIN
5,10000000410,ON_CALL_ADMIN
6,10000000003,ON_CALL_DOCTOR
6,10000000004,ON_CALL_DOCTOR
6,10000000000,ON_CALL_DOCTOR
6,10000000150,ON_CALL_NURSE
6,10000000151,ON_CALL_NURSE
6,10000000152,ON_CALL_NURSE
6,10000000135,ON_CALL_NURSE
6,10000000136,ON_CALL_NURSE
6,10000000137,ON_CALL_NURSE
6,10000000405,ON_CALL_ADMIN
6,10000000406,ON_CALL_ADMIN
7,10000000002,ON_CALL_DOCTOR
7,10000000006,ON_CALL_DOCTOR
7,10000000007,ON_CALL_DOCTOR
7,10000000141,ON_CALL_NURSE
7,10000000142,ON_CALL_NURSE
7,10000000143,ON_CALL_NURSE
7,10000000144,ON_CALL_NURSE
7,10000000145,ON_CALL_NURSE
7,10000000146,ON_CALL_NURSE
7,10000000409,ON_CALL_ADMIN
7,10000000410,ON_CALL_ADMIN
8,10000000003,ON_CALL_DOCTOR
8,10000000004,ON_CALL_DOCTOR
8,10000000008,ON_CALL_DOCTOR
8,10000000147,ON_CALL_NURSE
8,10000000148,ON_CALL_NURSE
8,10000000149,ON_CALL_NURSE
8,10000000150,ON_CALL_NURSE
8,10000000151,ON_CALL_NURSE
8,10000000152,ON_CALL_NURSE
8,10000000405,ON_CALL_ADMIN
8,10000000406,ON_CALL_ADMIN
9,10000000000,ON_CALL_DOCTOR
9,10000000005,ON_CALL_DOCTOR
9,10000000001,ON_CALL_DOCTOR
9,10000000135,ON_CALL_NURSE
9,10000000136,ON_CALL_NURSE
9,10000000137,ON_CALL_NURSE
9,10000000138,ON_CALL_NURSE
9,10000000139,ON_CALL_NURSE
9,10000000140,ON_CALL_NURSE
9,10000000407,ON_CALL_ADMIN
9,10000000408,ON_CALL_ADMIN
10,10000000003,ON_CALL_DOCTOR
10,10000000004,ON_CALL_DOCTOR
10,10000000008,ON_CALL_DOCTOR
10,10000000144,ON_CALL_NURSE
10,10000000145,ON_CALL_NURSE
10,10000000146,ON_CALL_NURSE
10,10000000147,ON_CALL_NURSE
10,10000000148,ON_CALL_NURSE
10,10000000149,ON_CALL_NURSE
10,10000000405,ON_CALL_ADMIN
10,10000000406,ON_CALL_ADMIN
11,10000000000,ON_CALL_DOCTOR
11,10000000005,ON_CALL_DOCTOR
11,10000000007,ON_CALL_DOCTOR
11,10000000150,ON_CALL_NURSE
11,10000000151,ON_CALL_NURSE
11,10000000152,ON_CALL_NURSE
11,10000000135,ON_CALL_NURSE
11,10000000136,ON_CALL_NURSE
11,10000000137,ON_CALL_NURSE
11,10000000407,ON_CALL_ADMIN
11,10000000408,ON_CALL_ADMIN
12,10000000001,ON_CALL_DOCTOR
12,10000000006,ON_CALL_DOCTOR
12,10000000002,ON_CALL_DOCTOR
12,10000000138,ON_CALL_NURSE
12,10000000139,ON_CALL_NURSE
12,10000000140,ON_CALL_NURSE
12,10000000141,ON_CALL_NURSE
12,10000000142,ON_CALL_NURSE
12,10000000143,ON_CALL_NURSE
12,10000000409,ON_CALL_ADMIN
12,10000000410,ON_CALL_ADMIN
13,10000000000,ON_CALL_DOCTOR
13,10000000005,ON_CALL_DOCTOR
13,10000000007,ON_CALL_DOCTOR
13,10000000147,ON_CALL_NURSE
13,10000000148,ON_CALL_NURSE
13,10000000149,ON_CALL_NURSE
13,10000000150,ON_CALL_NURSE
13,10000000151,ON_CALL_NURSE
13,10000000152,ON_CALL_NURSE
13,10000000407,ON_CALL_ADMIN
13,10000000408,ON_CALL_ADMIN
